run,alpha,method,accuracies,c_count
71,0.2,sl,1,5
71,0.2,sl2,1,6
70,0.2,wt,1,5
70,0.2,wt2,1,5
70,0.2,l,1,5
70,0.2,l2,1,5
70,0.2,fg,1,5
70,0.2,fg2,1,5
70,0.2,eb,0.7,28
70,0.2,eb2,0.7,28
70,0.2,im,1,5
70,0.2,im2,1,5
70,0.2,lp,1,5
70,0.2,lp2,1,5
70,0.2,sl,1,5
70,0.2,sl2,1,5
69,0.2,wt,1,5
69,0.2,wt2,1,5
69,0.2,l,1,5
69,0.2,l2,1,5
69,0.2,fg,1,5
69,0.2,fg2,1,5
69,0.2,eb,0.34,4
69,0.2,eb2,0.72,32
69,0.2,im,1,5
69,0.2,im2,1,5
69,0.2,lp,1,5
69,0.2,lp2,1,5
69,0.2,sl,1,5
69,0.2,sl2,1,5
68,0.2,wt,1,5
68,0.2,wt2,1,5
68,0.2,l,1,5
68,0.2,l2,1,5
68,0.2,fg,1,5
68,0.2,fg2,1,5
68,0.2,eb,0.66,25
68,0.2,eb2,0.68,27
68,0.2,im,1,5
68,0.2,im2,1,5
68,0.2,lp,1,5
68,0.2,lp2,1,5
68,0.2,sl,1,6
68,0.2,sl2,1,5
67,0.2,wt,1,5
67,0.2,wt2,1,5
67,0.2,l,1,5
67,0.2,l2,1,5
67,0.2,fg,1,5
67,0.2,fg2,1,5
67,0.2,eb,0.6,23
67,0.2,eb2,0.74,31
67,0.2,im,1,5
67,0.2,im2,1,5
67,0.2,lp,0.6,3
67,0.2,lp2,1,5
67,0.2,sl,1,5
67,0.2,sl2,1,5
66,0.2,wt,1,5
66,0.2,wt2,1,5
66,0.2,l,1,5
66,0.2,l2,1,5
66,0.2,fg,1,5
66,0.2,fg2,1,5
66,0.2,eb,0.56,21
66,0.2,eb2,0.56,21
66,0.2,im,1,5
66,0.2,im2,1,5
66,0.2,lp,1,5
66,0.2,lp2,1,5
66,0.2,sl,1,5
66,0.2,sl2,1,5
65,0.2,wt,1,5
65,0.2,wt2,1,5
65,0.2,l,1,5
65,0.2,l2,1,5
65,0.2,fg,0.98,5
65,0.2,fg2,0.98,5
65,0.2,eb,0.9,33
65,0.2,eb2,0.9,33
65,0.2,im,1,5
65,0.2,im2,1,5
65,0.2,lp,1,5
65,0.2,lp2,1,5
65,0.2,sl,1,6
65,0.2,sl2,1,5
64,0.2,wt,1,5
64,0.2,wt2,1,5
64,0.2,l,1,5
64,0.2,l2,1,5
64,0.2,fg,1,5
64,0.2,fg2,1,5
64,0.2,eb,0.72,25
64,0.2,eb2,0.72,25
64,0.2,im,1,5
64,0.2,im2,1,5
64,0.2,lp,1,5
64,0.2,lp2,1,5
64,0.2,sl,1,5
64,0.2,sl2,1,5
63,0.2,wt,1,5
63,0.2,wt2,1,5
63,0.2,l,1,5
63,0.2,l2,1,5
63,0.2,fg,1,5
63,0.2,fg2,1,5
63,0.2,eb,0.44,14
63,0.2,eb2,0.82,37
63,0.2,im,1,5
63,0.2,im2,1,5
63,0.2,lp,1,5
63,0.2,lp2,1,5
63,0.2,sl,1,5
63,0.2,sl2,1,5
62,0.2,wt,1,5
62,0.2,wt2,1,5
62,0.2,l,1,5
62,0.2,l2,1,5
62,0.2,fg,1,5
62,0.2,fg2,1,5
62,0.2,eb,0.72,28
62,0.2,eb2,0.72,28
62,0.2,im,1,5
62,0.2,im2,1,5
62,0.2,lp,1,5
62,0.2,lp2,1,5
62,0.2,sl,1,5
62,0.2,sl2,1,5
61,0.2,wt,1,5
61,0.2,wt2,1,5
61,0.2,l,1,5
61,0.2,l2,1,5
61,0.2,fg,1,5
61,0.2,fg2,1,5
61,0.2,eb,0.74,26
61,0.2,eb2,0.74,26
61,0.2,im,1,5
61,0.2,im2,1,5
61,0.2,lp,1,5
61,0.2,lp2,1,5
61,0.2,sl,1,5
61,0.2,sl2,1,5
60,0.2,wt,1,5
60,0.2,wt2,1,5
60,0.2,l,1,5
60,0.2,l2,1,5
60,0.2,fg,1,5
60,0.2,fg2,1,5
60,0.2,eb,0.58,22
60,0.2,eb2,0.58,22
60,0.2,im,1,5
60,0.2,im2,1,5
60,0.2,lp,0.64,3
60,0.2,lp2,1,5
60,0.2,sl,1,6
60,0.2,sl2,1,7
59,0.2,wt,1,5
59,0.2,wt2,1,5
59,0.2,l,1,5
59,0.2,l2,1,5
59,0.2,fg,1,5
59,0.2,fg2,1,5
59,0.2,eb,0.66,27
59,0.2,eb2,0.66,27
59,0.2,im,1,5
59,0.2,im2,1,5
59,0.2,lp,1,5
59,0.2,lp2,1,5
59,0.2,sl,1,5
59,0.2,sl2,1,5
58,0.2,wt,1,5
58,0.2,wt2,1,5
58,0.2,l,1,5
58,0.2,l2,1,5
58,0.2,fg,1,5
58,0.2,fg2,1,5
58,0.2,eb,0.76,30
58,0.2,eb2,0.76,30
58,0.2,im,1,5
58,0.2,im2,1,5
58,0.2,lp,1,5
58,0.2,lp2,1,5
58,0.2,sl,1,5
58,0.2,sl2,1,5
57,0.2,wt,1,5
57,0.2,wt2,1,5
57,0.2,l,1,5
57,0.2,l2,1,5
57,0.2,fg,1,5
57,0.2,fg2,1,5
57,0.2,eb,0.74,28
57,0.2,eb2,0.74,28
57,0.2,im,1,5
57,0.2,im2,1,5
57,0.2,lp,1,5
57,0.2,lp2,1,5
57,0.2,sl,1,5
57,0.2,sl2,1,5
56,0.2,wt,1,5
56,0.2,wt2,1,5
56,0.2,l,1,5
56,0.2,l2,1,5
56,0.2,fg,1,5
56,0.2,fg2,1,5
56,0.2,eb,0.64,25
56,0.2,eb2,0.64,25
56,0.2,im,1,5
56,0.2,im2,1,5
56,0.2,lp,0.98,5
56,0.2,lp2,0.72,3
56,0.2,sl,1,6
56,0.2,sl2,1,5
55,0.2,wt,1,5
55,0.2,wt2,1,5
55,0.2,l,1,5
55,0.2,l2,1,5
55,0.2,fg,1,5
55,0.2,fg2,1,5
55,0.2,eb,0.72,29
55,0.2,eb2,0.7,29
55,0.2,im,1,5
55,0.2,im2,1,5
55,0.2,lp,1,5
55,0.2,lp2,1,5
55,0.2,sl,1,8
55,0.2,sl2,1,5
54,0.2,wt,1,5
54,0.2,wt2,1,5
54,0.2,l,1,5
54,0.2,l2,1,5
54,0.2,fg,0.98,5
54,0.2,fg2,1,5
54,0.2,eb,0.82,21
54,0.2,eb2,0.82,21
54,0.2,im,1,5
54,0.2,im2,1,5
54,0.2,lp,1,5
54,0.2,lp2,1,5
54,0.2,sl,1,5
54,0.2,sl2,1,5
53,0.2,wt,1,5
53,0.2,wt2,1,5
53,0.2,l,1,5
53,0.2,l2,1,5
53,0.2,fg,1,5
53,0.2,fg2,1,5
53,0.2,eb,0.78,20
53,0.2,eb2,0.78,20
53,0.2,im,1,5
53,0.2,im2,1,5
53,0.2,lp,1,5
53,0.2,lp2,0.8,4
53,0.2,sl,1,5
53,0.2,sl2,1,5
52,0.2,wt,1,5
52,0.2,wt2,1,5
52,0.2,l,1,5
52,0.2,l2,1,5
52,0.2,fg,1,5
52,0.2,fg2,1,5
52,0.2,eb,0.42,10
52,0.2,eb2,1,50
52,0.2,im,1,5
52,0.2,im2,1,5
52,0.2,lp,1,5
52,0.2,lp2,1,5
52,0.2,sl,1,5
52,0.2,sl2,1,5
51,0.2,wt,1,5
51,0.2,wt2,1,5
51,0.2,l,1,5
51,0.2,l2,1,5
51,0.2,fg,1,5
51,0.2,fg2,1,5
51,0.2,eb,0.62,22
51,0.2,eb2,0.64,24
51,0.2,im,1,5
51,0.2,im2,1,5
51,0.2,lp,1,5
51,0.2,lp2,1,5
51,0.2,sl,1,6
51,0.2,sl2,1,5
50,0.2,wt,1,5
50,0.2,wt2,1,5
50,0.2,l,1,5
50,0.2,l2,1,5
50,0.2,fg,1,5
50,0.2,fg2,1,5
50,0.2,eb,0.5,16
50,0.2,eb2,0.72,31
50,0.2,im,1,5
50,0.2,im2,1,5
50,0.2,lp,1,5
50,0.2,lp2,1,5
50,0.2,sl,1,5
50,0.2,sl2,1,6
49,0.2,wt,1,5
49,0.2,wt2,1,5
49,0.2,l,1,5
49,0.2,l2,1,5
49,0.2,fg,1,5
49,0.2,fg2,1,5
49,0.2,eb,0.44,14
49,0.2,eb2,0.72,31
49,0.2,im,1,5
49,0.2,im2,1,5
49,0.2,lp,1,5
49,0.2,lp2,1,5
49,0.2,sl,1,5
49,0.2,sl2,1,5
48,0.2,wt,1,5
48,0.2,wt2,1,5
48,0.2,l,1,5
48,0.2,l2,1,5
48,0.2,fg,1,5
48,0.2,fg2,1,5
48,0.2,eb,0.84,29
48,0.2,eb2,0.84,29
48,0.2,im,1,5
48,0.2,im2,1,5
48,0.2,lp,1,5
48,0.2,lp2,1,5
48,0.2,sl,1,5
48,0.2,sl2,1,5
47,0.2,wt,1,5
47,0.2,wt2,1,5
47,0.2,l,1,5
47,0.2,l2,1,5
47,0.2,fg,1,5
47,0.2,fg2,1,5
47,0.2,eb,0.56,23
47,0.2,eb2,0.56,23
47,0.2,im,1,5
47,0.2,im2,1,5
47,0.2,lp,1,5
47,0.2,lp2,1,5
47,0.2,sl,1,6
47,0.2,sl2,1,5
46,0.2,wt,1,5
46,0.2,wt2,1,5
46,0.2,l,1,5
46,0.2,l2,1,5
46,0.2,fg,1,5
46,0.2,fg2,1,5
46,0.2,eb,0.58,21
46,0.2,eb2,0.66,26
46,0.2,im,1,5
46,0.2,im2,1,5
46,0.2,lp,1,5
46,0.2,lp2,1,5
46,0.2,sl,1,6
46,0.2,sl2,1,5
45,0.2,wt,1,5
45,0.2,wt2,1,5
45,0.2,l,1,5
45,0.2,l2,1,5
45,0.2,fg,1,5
45,0.2,fg2,1,5
45,0.2,eb,0.62,21
45,0.2,eb2,0.78,31
45,0.2,im,1,5
45,0.2,im2,1,5
45,0.2,lp,1,5
45,0.2,lp2,1,5
45,0.2,sl,1,5
45,0.2,sl2,1,6
44,0.2,wt,1,5
44,0.2,wt2,1,5
44,0.2,l,1,5
44,0.2,l2,1,5
44,0.2,fg,1,5
44,0.2,fg2,1,5
44,0.2,eb,0.58,22
44,0.2,eb2,0.58,22
44,0.2,im,1,5
44,0.2,im2,1,5
44,0.2,lp,1,5
44,0.2,lp2,1,5
44,0.2,sl,1,5
44,0.2,sl2,1,5
43,0.2,wt,1,5
43,0.2,wt2,1,5
43,0.2,l,1,5
43,0.2,l2,1,5
43,0.2,fg,1,5
43,0.2,fg2,1,5
