run,alpha,method,accuracies
970,1,l,0.36
970,1,l2,0.4
970,1,fg,0.42
970,1,fg2,0.44
970,1,eb,0.28
970,1,eb2,0.94
970,1,im,0.28
970,1,im2,0.28
970,1,lp,0.28
970,1,lp2,1
970,1,sl,0.3
970,1,sl2,0.28
969,1,wt,0.3
969,1,wt2,0.28
969,1,l,0.32
969,1,l2,0.42
969,1,fg,0.3
969,1,fg2,0.4
969,1,eb,0.28
969,1,eb2,0.9
969,1,im,0.28
969,1,im2,0.28
969,1,lp,0.28
969,1,lp2,1
969,1,sl,0.34
969,1,sl2,0.32
968,1,wt,0.36
968,1,wt2,0.32
968,1,l,0.4
968,1,l2,0.52
968,1,fg,0.36
968,1,fg2,0.44
968,1,eb,0.32
968,1,eb2,1
968,1,im,0.32
968,1,im2,0.32
968,1,lp,0.32
968,1,lp2,1
968,1,sl,0.36
968,1,sl2,0.38
967,1,wt,0.32
967,1,wt2,0.3
967,1,l,0.3
967,1,l2,0.4
967,1,fg,0.34
967,1,fg2,0.42
967,1,eb,0.3
967,1,eb2,1
967,1,im,0.3
967,1,im2,0.3
967,1,lp,0.3
967,1,lp2,1
967,1,sl,0.32
967,1,sl2,0.32
966,1,wt,0.36
966,1,wt2,0.3
966,1,l,0.38
966,1,l2,0.48
966,1,fg,0.36
966,1,fg2,0.42
966,1,eb,0.3
966,1,eb2,0.96
966,1,im,0.3
966,1,im2,0.3
966,1,lp,0.3
966,1,lp2,1
966,1,sl,0.3
966,1,sl2,0.3
965,1,wt,0.34
965,1,wt2,0.24
965,1,l,0.38
965,1,l2,0.38
965,1,fg,0.32
965,1,fg2,0.46
965,1,eb,0.24
965,1,eb2,0.98
965,1,im,0.24
965,1,im2,0.24
965,1,lp,0.24
965,1,lp2,1
965,1,sl,0.34
965,1,sl2,0.34
964,1,wt,0.32
964,1,wt2,0.24
964,1,l,0.26
964,1,l2,0.42
964,1,fg,0.24
964,1,fg2,0.42
964,1,eb,0.24
964,1,eb2,0.94
964,1,im,0.24
964,1,im2,0.24
964,1,lp,0.24
964,1,lp2,1
964,1,sl,0.28
964,1,sl2,0.28
963,1,wt,0.32
963,1,wt2,0.26
963,1,l,0.32
963,1,l2,0.36
963,1,fg,0.3
963,1,fg2,0.36
963,1,eb,0.26
963,1,eb2,0.94
963,1,im,0.26
963,1,im2,0.26
963,1,lp,0.26
963,1,lp2,1
963,1,sl,0.34
963,1,sl2,0.34
962,1,wt,0.32
962,1,wt2,0.28
962,1,l,0.3
962,1,l2,0.38
962,1,fg,0.28
962,1,fg2,0.34
962,1,eb,0.28
962,1,eb2,0.96
962,1,im,0.28
962,1,im2,0.28
962,1,lp,0.28
962,1,lp2,1
962,1,sl,0.3
962,1,sl2,0.28
961,1,wt,0.32
961,1,wt2,0.28
961,1,l,0.3
961,1,l2,0.42
961,1,fg,0.34
961,1,fg2,0.42
961,1,eb,0.28
961,1,eb2,0.98
961,1,im,0.28
961,1,im2,0.28
961,1,lp,0.28
961,1,lp2,1
961,1,sl,0.34
961,1,sl2,0.34
