run,alpha,method,accuracies
970,0.7999999999999999,wt,0.44
970,0.7999999999999999,wt2,0.24
970,0.7999999999999999,l,0.5
970,0.7999999999999999,l2,0.74
970,0.7999999999999999,fg,0.34
970,0.7999999999999999,fg2,0.56
970,0.7999999999999999,eb,0.24
970,0.7999999999999999,eb2,0.84
970,0.7999999999999999,im,0.24
970,0.7999999999999999,im2,0.24
970,0.7999999999999999,lp,0.24
970,0.7999999999999999,lp2,1
970,0.7999999999999999,sl,0.44
970,0.7999999999999999,sl2,0.44
969,0.7999999999999999,wt,0.38
969,0.7999999999999999,wt2,0.26
969,0.7999999999999999,l,0.38
969,0.7999999999999999,l2,0.74
969,0.7999999999999999,fg,0.44
969,0.7999999999999999,fg2,0.58
969,0.7999999999999999,eb,0.26
969,0.7999999999999999,eb2,0.88
969,0.7999999999999999,im,0.26
969,0.7999999999999999,im2,0.26
969,0.7999999999999999,lp,0.26
969,0.7999999999999999,lp2,1
969,0.7999999999999999,sl,0.46
969,0.7999999999999999,sl2,0.46
968,0.7999999999999999,wt,0.38
968,0.7999999999999999,wt2,0.24
968,0.7999999999999999,l,0.52
968,0.7999999999999999,l2,0.74
968,0.7999999999999999,fg,0.38
968,0.7999999999999999,fg2,0.78
968,0.7999999999999999,eb,0.24
968,0.7999999999999999,eb2,1
968,0.7999999999999999,im,0.24
968,0.7999999999999999,im2,0.24
968,0.7999999999999999,lp,0.24
968,0.7999999999999999,lp2,1
968,0.7999999999999999,sl,0.52
968,0.7999999999999999,sl2,0.52
967,0.7999999999999999,wt,0.4
967,0.7999999999999999,wt2,0.3
967,0.7999999999999999,l,0.38
967,0.7999999999999999,l2,0.52
967,0.7999999999999999,fg,0.44
967,0.7999999999999999,fg2,0.62
967,0.7999999999999999,eb,0.3
967,0.7999999999999999,eb2,0.98
967,0.7999999999999999,im,0.3
967,0.7999999999999999,im2,0.3
967,0.7999999999999999,lp,0.3
967,0.7999999999999999,lp2,1
967,0.7999999999999999,sl,0.42
967,0.7999999999999999,sl2,0.42
966,0.7999999999999999,wt,0.36
966,0.7999999999999999,wt2,0.26
966,0.7999999999999999,l,0.38
966,0.7999999999999999,l2,0.62
966,0.7999999999999999,fg,0.36
966,0.7999999999999999,fg2,0.74
966,0.7999999999999999,eb,0.26
966,0.7999999999999999,eb2,0.98
966,0.7999999999999999,im,0.26
966,0.7999999999999999,im2,0.26
966,0.7999999999999999,lp,0.26
966,0.7999999999999999,lp2,1
966,0.7999999999999999,sl,0.42
966,0.7999999999999999,sl2,0.42
965,0.7999999999999999,wt,0.44
965,0.7999999999999999,wt2,0.26
965,0.7999999999999999,l,0.58
965,0.7999999999999999,l2,0.58
965,0.7999999999999999,fg,0.44
965,0.7999999999999999,fg2,0.66
965,0.7999999999999999,eb,0.26
965,0.7999999999999999,eb2,0.94
965,0.7999999999999999,im,0.26
965,0.7999999999999999,im2,0.26
965,0.7999999999999999,lp,0.26
965,0.7999999999999999,lp2,1
965,0.7999999999999999,sl,0.58
965,0.7999999999999999,sl2,0.58
964,0.7999999999999999,wt,0.38
964,0.7999999999999999,wt2,0.24
964,0.7999999999999999,l,0.38
964,0.7999999999999999,l2,0.7
964,0.7999999999999999,fg,0.38
964,0.7999999999999999,fg2,0.7
964,0.7999999999999999,eb,0.24
964,0.7999999999999999,eb2,0.94
964,0.7999999999999999,im,0.24
964,0.7999999999999999,im2,0.24
964,0.7999999999999999,lp,0.24
964,0.7999999999999999,lp2,1
964,0.7999999999999999,sl,0.36
964,0.7999999999999999,sl2,0.38
963,0.7999999999999999,wt,0.56
963,0.7999999999999999,wt2,0.26
963,0.7999999999999999,l,0.52
963,0.7999999999999999,l2,0.62
963,0.7999999999999999,fg,0.5
963,0.7999999999999999,fg2,0.64
963,0.7999999999999999,eb,0.26
963,0.7999999999999999,eb2,1
963,0.7999999999999999,im,0.26
963,0.7999999999999999,im2,0.26
963,0.7999999999999999,lp,0.26
963,0.7999999999999999,lp2,1
963,0.7999999999999999,sl,0.5
963,0.7999999999999999,sl2,0.5
962,0.7999999999999999,wt,0.42
962,0.7999999999999999,wt2,0.26
962,0.7999999999999999,l,0.42
962,0.7999999999999999,l2,0.64
962,0.7999999999999999,fg,0.46
962,0.7999999999999999,fg2,0.64
962,0.7999999999999999,eb,0.26
962,0.7999999999999999,eb2,0.82
962,0.7999999999999999,im,0.26
962,0.7999999999999999,im2,0.26
962,0.7999999999999999,lp,0.26
962,0.7999999999999999,lp2,1
962,0.7999999999999999,sl,0.46
962,0.7999999999999999,sl2,0.46
961,0.7999999999999999,wt,0.38
961,0.7999999999999999,wt2,0.26
961,0.7999999999999999,l,0.48
961,0.7999999999999999,l2,0.64
961,0.7999999999999999,fg,0.54
961,0.7999999999999999,fg2,0.6
961,0.7999999999999999,eb,0.26
961,0.7999999999999999,eb2,1
961,0.7999999999999999,im,0.26
961,0.7999999999999999,im2,0.26
961,0.7999999999999999,lp,0.26
961,0.7999999999999999,lp2,1
961,0.7999999999999999,sl,0.48
961,0.7999999999999999,sl2,0.48
960,0.7999999999999999,wt,0.34
960,0.7999999999999999,wt2,0.26
960,0.7999999999999999,l,0.48
960,0.7999999999999999,l2,0.56
960,0.7999999999999999,fg,0.38
960,0.7999999999999999,fg2,0.7
960,0.7999999999999999,eb,0.26
960,0.7999999999999999,eb2,0.96
960,0.7999999999999999,im,0.26
960,0.7999999999999999,im2,0.26
960,0.7999999999999999,lp,0.26
960,0.7999999999999999,lp2,1
960,0.7999999999999999,sl,0.36
960,0.7999999999999999,sl2,0.36
959,0.7999999999999999,wt,0.34
959,0.7999999999999999,wt2,0.28
959,0.7999999999999999,l,0.52
959,0.7999999999999999,l2,0.68
959,0.7999999999999999,fg,0.36
959,0.7999999999999999,fg2,0.64
959,0.7999999999999999,eb,0.28
959,0.7999999999999999,eb2,0.9
959,0.7999999999999999,im,0.28
959,0.7999999999999999,im2,0.28
959,0.7999999999999999,lp,0.28
959,0.7999999999999999,lp2,1
959,0.7999999999999999,sl,0.46
959,0.7999999999999999,sl2,0.46
