run,alpha,method,accuracies
969,0.1,sl,1
969,0.1,sl2,1
968,0.1,wt,1
968,0.1,wt2,1
968,0.1,l,1
968,0.1,l2,1
968,0.1,fg,1
968,0.1,fg2,1
968,0.1,eb,0.68
968,0.1,eb2,0.72
968,0.1,im,1
968,0.1,im2,1
968,0.1,lp,1
968,0.1,lp2,1
968,0.1,sl,1
968,0.1,sl2,1
967,0.1,wt,1
967,0.1,wt2,1
967,0.1,l,1
967,0.1,l2,1
967,0.1,fg,1
967,0.1,fg2,1
967,0.1,eb,0.5
967,0.1,eb2,0.5
967,0.1,im,1
967,0.1,im2,1
967,0.1,lp,1
967,0.1,lp2,1
967,0.1,sl,1
967,0.1,sl2,1
966,0.1,wt,1
966,0.1,wt2,1
966,0.1,l,1
966,0.1,l2,1
966,0.1,fg,1
966,0.1,fg2,1
966,0.1,eb,0.56
966,0.1,eb2,0.56
966,0.1,im,1
966,0.1,im2,1
966,0.1,lp,1
966,0.1,lp2,1
966,0.1,sl,1
966,0.1,sl2,1
965,0.1,wt,1
965,0.1,wt2,1
965,0.1,l,1
965,0.1,l2,1
965,0.1,fg,1
965,0.1,fg2,1
965,0.1,eb,0.54
965,0.1,eb2,0.54
965,0.1,im,1
965,0.1,im2,1
965,0.1,lp,1
965,0.1,lp2,1
965,0.1,sl,1
965,0.1,sl2,1
964,0.1,wt,1
964,0.1,wt2,1
964,0.1,l,1
964,0.1,l2,1
964,0.1,fg,1
964,0.1,fg2,1
964,0.1,eb,0.32
964,0.1,eb2,1
964,0.1,im,1
964,0.1,im2,1
964,0.1,lp,1
964,0.1,lp2,1
964,0.1,sl,1
964,0.1,sl2,1
963,0.1,wt,1
963,0.1,wt2,1
963,0.1,l,1
963,0.1,l2,1
963,0.1,fg,1
963,0.1,fg2,1
963,0.1,eb,0.72
963,0.1,eb2,0.72
963,0.1,im,1
963,0.1,im2,1
963,0.1,lp,1
963,0.1,lp2,1
963,0.1,sl,1
963,0.1,sl2,1
962,0.1,wt,1
962,0.1,wt2,1
962,0.1,l,1
962,0.1,l2,1
962,0.1,fg,1
962,0.1,fg2,1
962,0.1,eb,0.52
962,0.1,eb2,0.52
962,0.1,im,1
962,0.1,im2,1
962,0.1,lp,1
962,0.1,lp2,1
962,0.1,sl,1
962,0.1,sl2,1
961,0.1,wt,1
961,0.1,wt2,1
961,0.1,l,1
961,0.1,l2,1
961,0.1,fg,1
961,0.1,fg2,1
961,0.1,eb,0.46
961,0.1,eb2,0.46
961,0.1,im,1
961,0.1,im2,1
961,0.1,lp,1
961,0.1,lp2,1
961,0.1,sl,1
961,0.1,sl2,1
960,0.1,wt,1
960,0.1,wt2,1
960,0.1,l,1
960,0.1,l2,1
960,0.1,fg,1
960,0.1,fg2,1
960,0.1,eb,0.64
960,0.1,eb2,0.64
960,0.1,im,1
960,0.1,im2,1
960,0.1,lp,1
960,0.1,lp2,1
960,0.1,sl,1
960,0.1,sl2,1
959,0.1,wt,1
959,0.1,wt2,1
959,0.1,l,1
959,0.1,l2,1
959,0.1,fg,1
959,0.1,fg2,1
959,0.1,eb,0.46
959,0.1,eb2,0.68
959,0.1,im,1
959,0.1,im2,1
959,0.1,lp,1
959,0.1,lp2,1
959,0.1,sl,1
959,0.1,sl2,1
958,0.1,wt,1
958,0.1,wt2,1
958,0.1,l,1
958,0.1,l2,1
958,0.1,fg,1
958,0.1,fg2,1
958,0.1,eb,0.56
958,0.1,eb2,0.56
958,0.1,im,1
958,0.1,im2,1
958,0.1,lp,1
958,0.1,lp2,1
958,0.1,sl,1
958,0.1,sl2,1
957,0.1,wt,1
957,0.1,wt2,1
957,0.1,l,1
957,0.1,l2,1
957,0.1,fg,1
957,0.1,fg2,1
957,0.1,eb,0.64
957,0.1,eb2,0.64
957,0.1,im,1
957,0.1,im2,1
957,0.1,lp,1
957,0.1,lp2,1
957,0.1,sl,1
957,0.1,sl2,1
956,0.1,wt,1
956,0.1,wt2,1
956,0.1,l,1
956,0.1,l2,1
956,0.1,fg,1
956,0.1,fg2,1
956,0.1,eb,0.62
956,0.1,eb2,0.62
956,0.1,im,1
956,0.1,im2,1
956,0.1,lp,1
956,0.1,lp2,1
956,0.1,sl,1
956,0.1,sl2,1
955,0.1,wt,1
955,0.1,wt2,1
955,0.1,l,1
955,0.1,l2,1
955,0.1,fg,1
955,0.1,fg2,1
955,0.1,eb,0.68
955,0.1,eb2,0.7
955,0.1,im,1
955,0.1,im2,1
955,0.1,lp,1
955,0.1,lp2,1
955,0.1,sl,1
955,0.1,sl2,1
954,0.1,wt,1
954,0.1,wt2,1
954,0.1,l,1
954,0.1,l2,1
954,0.1,fg,1
954,0.1,fg2,1
954,0.1,eb,0.34
954,0.1,eb2,1
954,0.1,im,1
954,0.1,im2,1
954,0.1,lp,1
954,0.1,lp2,1
954,0.1,sl,1
954,0.1,sl2,1
953,0.1,wt,1
953,0.1,wt2,1
953,0.1,l,1
953,0.1,l2,1
953,0.1,fg,1
953,0.1,fg2,1
953,0.1,eb,0.56
953,0.1,eb2,0.6
953,0.1,im,1
953,0.1,im2,1
953,0.1,lp,1
953,0.1,lp2,1
953,0.1,sl,1
953,0.1,sl2,1
952,0.1,wt,1
952,0.1,wt2,1
