run,alpha,method,accuracies,c_count
69,0,sl2,NaN,NaN
68,0,wt,1,5
68,0,wt2,1,5
68,0,l,1,5
68,0,l2,1,5
68,0,fg,1,5
68,0,fg2,1,5
68,0,eb,1,5
68,0,eb2,1,5
68,0,im,1,5
68,0,im2,1,5
68,0,lp,1,5
68,0,lp2,1,5
68,0,sl,NaN,NaN
68,0,sl2,NaN,NaN
67,0,wt,1,5
67,0,wt2,1,5
67,0,l,1,5
67,0,l2,1,5
67,0,fg,1,5
67,0,fg2,1,5
67,0,eb,1,5
67,0,eb2,1,5
67,0,im,1,5
67,0,im2,1,5
67,0,lp,1,5
67,0,lp2,1,5
67,0,sl,NaN,NaN
67,0,sl2,NaN,NaN
66,0,wt,1,5
66,0,wt2,1,5
66,0,l,1,5
66,0,l2,1,5
66,0,fg,1,5
66,0,fg2,1,5
66,0,eb,1,5
66,0,eb2,1,5
66,0,im,1,5
66,0,im2,1,5
66,0,lp,1,5
66,0,lp2,1,5
66,0,sl,NaN,NaN
66,0,sl2,NaN,NaN
65,0,wt,1,5
65,0,wt2,1,5
65,0,l,1,5
65,0,l2,1,5
65,0,fg,1,5
65,0,fg2,1,5
65,0,eb,1,5
65,0,eb2,1,5
65,0,im,1,5
65,0,im2,1,5
65,0,lp,1,5
65,0,lp2,1,5
65,0,sl,NaN,NaN
65,0,sl2,NaN,NaN
64,0,wt,1,5
64,0,wt2,1,5
64,0,l,1,5
64,0,l2,1,5
64,0,fg,1,5
64,0,fg2,1,5
64,0,eb,1,5
64,0,eb2,1,5
64,0,im,1,5
64,0,im2,1,5
64,0,lp,1,5
64,0,lp2,1,5
64,0,sl,NaN,NaN
64,0,sl2,NaN,NaN
63,0,wt,1,5
63,0,wt2,1,5
63,0,l,1,5
63,0,l2,1,5
63,0,fg,1,5
63,0,fg2,1,5
63,0,eb,1,5
63,0,eb2,1,5
63,0,im,1,5
63,0,im2,1,5
63,0,lp,1,5
63,0,lp2,1,5
63,0,sl,NaN,NaN
63,0,sl2,NaN,NaN
62,0,wt,1,5
62,0,wt2,1,5
62,0,l,1,5
62,0,l2,1,5
62,0,fg,1,5
62,0,fg2,1,5
62,0,eb,1,5
62,0,eb2,1,5
62,0,im,1,5
62,0,im2,1,5
62,0,lp,1,5
62,0,lp2,1,5
62,0,sl,NaN,NaN
62,0,sl2,NaN,NaN
61,0,wt,1,5
61,0,wt2,1,5
61,0,l,1,5
61,0,l2,1,5
61,0,fg,1,5
61,0,fg2,1,5
61,0,eb,1,5
61,0,eb2,1,5
61,0,im,1,5
61,0,im2,1,5
61,0,lp,1,5
61,0,lp2,1,5
61,0,sl,NaN,NaN
61,0,sl2,NaN,NaN
60,0,wt,1,5
60,0,wt2,1,5
60,0,l,1,5
60,0,l2,1,5
60,0,fg,1,5
60,0,fg2,1,5
60,0,eb,1,5
60,0,eb2,1,5
60,0,im,1,5
60,0,im2,1,5
60,0,lp,1,5
60,0,lp2,1,5
60,0,sl,NaN,NaN
60,0,sl2,NaN,NaN
59,0,wt,1,5
59,0,wt2,1,5
59,0,l,1,5
59,0,l2,1,5
59,0,fg,1,5
59,0,fg2,1,5
59,0,eb,1,5
59,0,eb2,1,5
59,0,im,1,5
59,0,im2,1,5
59,0,lp,1,5
59,0,lp2,1,5
59,0,sl,NaN,NaN
59,0,sl2,NaN,NaN
58,0,wt,1,5
58,0,wt2,1,5
58,0,l,1,5
58,0,l2,1,5
58,0,fg,1,5
58,0,fg2,1,5
58,0,eb,1,5
58,0,eb2,1,5
58,0,im,1,5
58,0,im2,1,5
58,0,lp,1,5
58,0,lp2,1,5
58,0,sl,NaN,NaN
58,0,sl2,NaN,NaN
57,0,wt,1,5
57,0,wt2,1,5
57,0,l,1,5
57,0,l2,1,5
57,0,fg,1,5
57,0,fg2,1,5
57,0,eb,1,5
57,0,eb2,1,5
57,0,im,1,5
57,0,im2,1,5
57,0,lp,1,5
57,0,lp2,1,5
57,0,sl,NaN,NaN
57,0,sl2,NaN,NaN
56,0,wt,1,5
56,0,wt2,1,5
56,0,l,1,5
56,0,l2,1,5
56,0,fg,1,5
56,0,fg2,1,5
56,0,eb,1,5
56,0,eb2,1,5
56,0,im,1,5
56,0,im2,1,5
56,0,lp,1,5
56,0,lp2,1,5
56,0,sl,NaN,NaN
56,0,sl2,NaN,NaN
55,0,wt,1,5
55,0,wt2,1,5
55,0,l,1,5
55,0,l2,1,5
55,0,fg,1,5
55,0,fg2,1,5
55,0,eb,1,5
55,0,eb2,1,5
55,0,im,1,5
55,0,im2,1,5
55,0,lp,1,5
55,0,lp2,1,5
55,0,sl,NaN,NaN
55,0,sl2,NaN,NaN
54,0,wt,1,5
54,0,wt2,1,5
54,0,l,1,5
54,0,l2,1,5
54,0,fg,1,5
54,0,fg2,1,5
54,0,eb,1,5
54,0,eb2,1,5
54,0,im,1,5
54,0,im2,1,5
54,0,lp,1,5
54,0,lp2,1,5
54,0,sl,NaN,NaN
54,0,sl2,NaN,NaN
53,0,wt,1,5
53,0,wt2,1,5
53,0,l,1,5
53,0,l2,1,5
53,0,fg,1,5
53,0,fg2,1,5
53,0,eb,1,5
53,0,eb2,1,5
53,0,im,1,5
53,0,im2,1,5
53,0,lp,1,5
53,0,lp2,1,5
53,0,sl,NaN,NaN
53,0,sl2,NaN,NaN
52,0,wt,1,5
52,0,wt2,1,5
52,0,l,1,5
52,0,l2,1,5
52,0,fg,1,5
52,0,fg2,1,5
52,0,eb,1,5
52,0,eb2,1,5
52,0,im,1,5
52,0,im2,1,5
52,0,lp,1,5
52,0,lp2,1,5
52,0,sl,NaN,NaN
52,0,sl2,NaN,NaN
51,0,wt,1,5
51,0,wt2,1,5
51,0,l,1,5
51,0,l2,1,5
51,0,fg,1,5
51,0,fg2,1,5
51,0,eb,1,5
51,0,eb2,1,5
51,0,im,1,5
51,0,im2,1,5
51,0,lp,1,5
51,0,lp2,1,5
51,0,sl,NaN,NaN
51,0,sl2,NaN,NaN
50,0,wt,1,5
50,0,wt2,1,5
50,0,l,1,5
50,0,l2,1,5
50,0,fg,1,5
50,0,fg2,1,5
50,0,eb,1,5
50,0,eb2,1,5
50,0,im,1,5
50,0,im2,1,5
50,0,lp,1,5
50,0,lp2,1,5
50,0,sl,NaN,NaN
50,0,sl2,NaN,NaN
49,0,wt,1,5
49,0,wt2,1,5
49,0,l,1,5
49,0,l2,1,5
49,0,fg,1,5
49,0,fg2,1,5
49,0,eb,1,5
49,0,eb2,1,5
49,0,im,1,5
49,0,im2,1,5
49,0,lp,1,5
49,0,lp2,1,5
49,0,sl,NaN,NaN
