run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint
34,0.7,eb2,0.33258153090653814,0.8612402029388754,0.5351939696705007,0.4798582184444609,0.3156667517903685
34,0.7,im,0,NA,NA,0,0
34,0.7,im2,0,NA,NA,0,0
34,0.7,lp,0,NA,NA,0,0
34,0.7,lp2,0.34577744987115916,1,0.5880284430800599,0.513870179507411,0.34577744987115916
34,0.7,le,0.6723704831709675,0.7015159368359953,0.6867886206123046,0.6866340660098549,0.5228048392604396
34,0.7,le2,0.8169872075238981,1,0.9038734466306099,0.8992767853740132,0.8169872075238981
34,0.7,sl,0.9750896871057683,1,0.9874662966935978,0.9873877560817329,0.9750896871057683
34,0.7,sl2,0.9744609513372586,0.9747524704577573,0.9746066999978038,0.9746066890980999,0.9504710814242292
33,0.7,wt,1,1,1,1,1
33,0.7,wt2,1,1,1,1,1
33,0.7,l,1,1,1,1,1
33,0.7,l2,1,1,1,1,1
33,0.7,fg,1,1,1,1,1
33,0.7,fg2,1,1,1,1,1
33,0.7,eb,0,NA,NA,0,0
33,0.7,eb2,0.3425445876273221,0.9621039578708321,0.5740762175038073,0.5052142274494951,0.33798436988563535
33,0.7,im,0,NA,NA,0,0
33,0.7,im2,0,NA,NA,0,0
33,0.7,lp,0,NA,NA,0,0
33,0.7,lp2,0.3477254613861661,1,0.589682508970858,0.516018241620994,0.3477254613861661
33,0.7,le,0.8069854181524393,0.9248170056861494,0.8638945757719075,0.8618925897954324,0.7573033810934529
33,0.7,le2,0.8433097765921282,0.9758822172275995,0.9071774989440808,0.9047654314512004,0.8260928365784022
33,0.7,sl,0.9755087895115421,1,0.987678484888449,0.9876025808548726,0.9755087895115421
33,0.7,sl2,1,1,1,1,1
32,0.7,wt,0.9723734923817867,0.9753952747322019,0.9738832115526191,0.9738820395496544,0.94909364915729
32,0.7,wt2,0.5473281663329608,1,0.7398163058036507,0.7074493675508836,0.5473281663329608
32,0.7,l,0.7821188684694954,0.9661531725002759,0.8692793716890612,0.8644497061509601,0.7612606071553534
32,0.7,l2,1,1,1,1,1
32,0.7,fg,0.7563115844185764,0.934956344069432,0.8409032726451668,0.8361990457390329,0.718506925671008
32,0.7,fg2,0.972651399319777,0.9744663636542794,0.9735584585418533,0.9735580355968622,0.9484784034165761
32,0.7,eb,0,NA,NA,0,0
32,0.7,eb2,0.33632638205607396,0.96650029150415,0.5701399357155501,0.49900658759072536,0.33245088450438953
32,0.7,im,0,NA,NA,0,0
32,0.7,im2,0,NA,NA,0,0
32,0.7,lp,0,NA,NA,0,0
32,0.7,lp2,0,NA,NA,0,0
32,0.7,le,0.6989968048342841,0.8790810600938794,0.783884463550565,0.7787636666761418,0.6376846523691025
32,0.7,le2,0.697172366181382,1,0.8349684821485073,0.8215693114895709,0.697172366181382
32,0.7,sl,1,1,1,1,1
32,0.7,sl2,1,1,1,1,1
31,0.7,wt,1,1,1,1,1
31,0.7,wt2,0.8094068940873995,1,0.8996704363751203,0.8946654251537332,0.8094068940873995
31,0.7,l,1,1,1,1,1
31,0.7,l2,1,1,1,1,1
31,0.7,fg,0.9035908315751114,0.9072464316396083,0.9054167866837826,0.9054149417639645,0.827176412606138
31,0.7,fg2,1,1,1,1,1
31,0.7,eb,0,NA,NA,0,0
31,0.7,eb2,0.34421955949510696,0.9610197055830332,0.5751537009547179,0.506882973218102,0.3394797354301039
31,0.7,im,0,NA,NA,0,0
31,0.7,im2,0,NA,NA,0,0
31,0.7,lp,0,NA,NA,0,0
31,0.7,lp2,0.34280093888809565,1,0.5854920485267888,0.5105759594895003,0.34280093888809565
31,0.7,le,0.6438929006015127,0.7479197338757386,0.6939598020507822,0.6920187314483415,0.5290738851441054
31,0.7,le2,0.674535260163117,0.9360277694334025,0.7945965863094696,0.7840534314671775,0.6448091155956195
31,0.7,sl,1,1,1,1,1
31,0.7,sl2,1,1,1,1,1
30,0.7,wt,0.9743761955463628,0.9743761955463628,0.9743761955463628,0.9743761955463628,0.9500327423322875
