run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
66,1,sl2,0.020837951323613327,0.05546147190983186,0.033995638720180334,0.030293897463865276,0.015379907400834955,0.020837951323613327,0.013968096490532897
65,1,wt,0.3473010324659949,1,0.5893225199039953,0.5155507553205421,0.3473010324659949,0.3473010324659949,1.945856987453491e-9
65,1,wt2,0,NaN,NaN,0,0,0,0
65,1,l,0.01503939621184762,0.04277469612526691,0.02536346985073754,0.02225428357910217,0.01125234826415171,0.01503939621184762,0.008253795640890394
65,1,l2,0.11765255559328025,0.20549579376742047,0.15548988809696496,0.14963471327170552,0.08086766129096634,0.11765255559328025,0.010673199042691206
65,1,fg,0.015481079280434976,0.04493020503023035,0.026373624441081173,0.023027752980129747,0.011647990008378857,0.015481079280434976,0.008496196448396852
65,1,fg2,0.1462940360451556,0.24812007110501544,0.19052161721380514,0.18406282111985028,0.10135968537929158,0.1462940360451556,0.013271495528464055
65,1,eb,0,NaN,NaN,0,0,0,0
65,1,eb2,0.3453302802369789,0.9913323034623156,0.5850957717866463,0.5122265953090013,0.34429073250935516,0.3453302802369789,2.363188699840135e-9
65,1,im,0,NaN,NaN,0,0,0,0
65,1,im2,0,NaN,NaN,0,0,0,0
65,1,lp,0,NaN,NaN,0,0,0,0
65,1,lp2,0,NaN,NaN,0,0,0,0
65,1,le,0,NaN,NaN,0,0,0,0
65,1,le2,0.1609651739405086,0.30981094869699116,0.22331317302318995,0.21185769986080794,0.11847921714301853,0.1609651739405086,0.0024137656312464523
65,1,sl,0.04083358405765761,0.11613791705254031,0.06886455836093172,0.060422782029929616,0.031152552973976,0.04083358405765761,0.022409946074266024
65,1,sl2,0.013606367024405843,0.03394781871584089,0.021492009704206935,0.019426533077394184,0.009808539497188623,0.013606367024405843,0.0074673325479599805
64,1,wt,0.3483955229368453,1,0.5902503900353182,0.5167556803778606,0.3483955229368453,0.3483955229368453,1.9519891947644903e-9
64,1,wt2,0,NaN,NaN,0,0,0,0
64,1,l,0.03426996262307172,0.095947601234214,0.057342137282018917,0.05050195397102619,0.025905106226649495,0.03426996262307172,0.018807754256049122
64,1,l2,0.13606665008286567,0.22701101221167203,0.17575160870832088,0.1701488754133549,0.09298509213518164,0.13606665008286567,0.018414618628021698
64,1,fg,0.04296020549833039,0.10868584658841102,0.06833129813049177,0.06157979373610583,0.03176803127470207,0.04296020549833039,0.02357706066647429
64,1,fg2,0.12187612106469894,0.20649864150259908,0.15864190313869359,0.15328372518462827,0.08300339758469559,0.12187612106469894,0.013504259142918812
64,1,eb,0,NaN,NaN,0,0,0,0
64,1,eb2,0.34642807540056264,0.9913595331786585,0.5860330836301675,0.5134369206391783,0.3453852229802056,0.34642807540056264,2.3707012096714185e-9
64,1,im,0,NaN,NaN,0,0,0,0
64,1,im2,0,NaN,NaN,0,0,0,0
64,1,lp,0,NaN,NaN,0,0,0,0
64,1,lp2,0.3483955229368453,1,0.5902503900353182,0.5167556803778606,0.3483955229368453,0.3483955229368453,1.9519891947644903e-9
64,1,le,0,NaN,NaN,0,0,0,0
64,1,le2,0.1944063314774438,0.36570720889571906,0.2666379509302304,0.2538620895645765,0.14538490233069418,0.1944063314774438,0.0043490196888760005
64,1,sl,0.03367364204084313,0.08726640206146309,0.054208648620031136,0.04859560961833595,0.024902890378775574,0.03367364204084313,0.01848048658167971
64,1,sl2,0.03367364204084313,0.08726640206146309,0.054208648620031136,0.04859560961833595,0.024902890378775574,0.03367364204084313,0.01848048658167971
63,1,wt,0.3480691206246853,1,0.5899738304574919,0.5163965486627163,0.3480691206246853,0.3480691206246853,1.9501604290527163e-9
