run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint
85,0,lp,1,1,1,1,1
85,0,lp2,1,1,1,1,1
85,0,le,1,1,1,1,1
85,0,le2,1,1,1,1,1
85,0,sl,NA,NA,NA,NA,NA
85,0,sl2,NA,NA,NA,NA,NA
84,0,wt,1,1,1,1,1
84,0,wt2,1,1,1,1,1
84,0,l,1,1,1,1,1
84,0,l2,1,1,1,1,1
84,0,fg,1,1,1,1,1
84,0,fg2,1,1,1,1,1
84,0,eb,1,1,1,1,1
84,0,eb2,1,1,1,1,1
84,0,im,1,1,1,1,1
84,0,im2,1,1,1,1,1
84,0,lp,1,1,1,1,1
84,0,lp2,1,1,1,1,1
84,0,le,1,1,1,1,1
84,0,le2,1,1,1,1,1
84,0,sl,NA,NA,NA,NA,NA
84,0,sl2,NA,NA,NA,NA,NA
83,0,wt,1,1,1,1,1
83,0,wt2,1,1,1,1,1
83,0,l,1,1,1,1,1
83,0,l2,1,1,1,1,1
83,0,fg,1,1,1,1,1
83,0,fg2,1,1,1,1,1
83,0,eb,1,1,1,1,1
83,0,eb2,1,1,1,1,1
83,0,im,1,1,1,1,1
83,0,im2,1,1,1,1,1
83,0,lp,1,1,1,1,1
83,0,lp2,1,1,1,1,1
83,0,le,1,1,1,1,1
83,0,le2,1,1,1,1,1
83,0,sl,NA,NA,NA,NA,NA
83,0,sl2,NA,NA,NA,NA,NA
82,0,wt,1,1,1,1,1
82,0,wt2,1,1,1,1,1
82,0,l,1,1,1,1,1
82,0,l2,1,1,1,1,1
82,0,fg,1,1,1,1,1
82,0,fg2,1,1,1,1,1
82,0,eb,1,1,1,1,1
82,0,eb2,1,1,1,1,1
82,0,im,1,1,1,1,1
82,0,im2,1,1,1,1,1
82,0,lp,1,1,1,1,1
82,0,lp2,1,1,1,1,1
82,0,le,1,1,1,1,1
82,0,le2,1,1,1,1,1
82,0,sl,NA,NA,NA,NA,NA
82,0,sl2,NA,NA,NA,NA,NA
81,0,wt,1,1,1,1,1
81,0,wt2,1,1,1,1,1
81,0,l,1,1,1,1,1
81,0,l2,1,1,1,1,1
81,0,fg,1,1,1,1,1
81,0,fg2,1,1,1,1,1
81,0,eb,1,1,1,1,1
81,0,eb2,1,1,1,1,1
81,0,im,1,1,1,1,1
81,0,im2,1,1,1,1,1
81,0,lp,1,1,1,1,1
81,0,lp2,1,1,1,1,1
81,0,le,1,1,1,1,1
81,0,le2,1,1,1,1,1
81,0,sl,NA,NA,NA,NA,NA
81,0,sl2,NA,NA,NA,NA,NA
80,0,wt,1,1,1,1,1
80,0,wt2,1,1,1,1,1
80,0,l,1,1,1,1,1
80,0,l2,1,1,1,1,1
80,0,fg,1,1,1,1,1
80,0,fg2,1,1,1,1,1
80,0,eb,1,1,1,1,1
80,0,eb2,1,1,1,1,1
80,0,im,1,1,1,1,1
80,0,im2,1,1,1,1,1
80,0,lp,1,1,1,1,1
80,0,lp2,1,1,1,1,1
80,0,le,1,1,1,1,1
80,0,le2,1,1,1,1,1
80,0,sl,NA,NA,NA,NA,NA
80,0,sl2,NA,NA,NA,NA,NA
79,0,wt,1,1,1,1,1
79,0,wt2,1,1,1,1,1
79,0,l,1,1,1,1,1
79,0,l2,1,1,1,1,1
79,0,fg,1,1,1,1,1
79,0,fg2,1,1,1,1,1
79,0,eb,1,1,1,1,1
79,0,eb2,1,1,1,1,1
79,0,im,1,1,1,1,1
79,0,im2,1,1,1,1,1
79,0,lp,1,1,1,1,1
79,0,lp2,1,1,1,1,1
79,0,le,1,1,1,1,1
79,0,le2,1,1,1,1,1
79,0,sl,NA,NA,NA,NA,NA
79,0,sl2,NA,NA,NA,NA,NA
78,0,wt,1,1,1,1,1
78,0,wt2,1,1,1,1,1
78,0,l,1,1,1,1,1
78,0,l2,1,1,1,1,1
78,0,fg,1,1,1,1,1
78,0,fg2,1,1,1,1,1
78,0,eb,1,1,1,1,1
78,0,eb2,1,1,1,1,1
78,0,im,1,1,1,1,1
78,0,im2,1,1,1,1,1
78,0,lp,1,1,1,1,1
78,0,lp2,1,1,1,1,1
78,0,le,1,1,1,1,1
78,0,le2,1,1,1,1,1
78,0,sl,NA,NA,NA,NA,NA
78,0,sl2,NA,NA,NA,NA,NA
77,0,wt,1,1,1,1,1
77,0,wt2,1,1,1,1,1
77,0,l,1,1,1,1,1
77,0,l2,1,1,1,1,1
77,0,fg,1,1,1,1,1
77,0,fg2,1,1,1,1,1
77,0,eb,1,1,1,1,1
77,0,eb2,1,1,1,1,1
77,0,im,1,1,1,1,1
77,0,im2,1,1,1,1,1
77,0,lp,1,1,1,1,1
77,0,lp2,1,1,1,1,1
77,0,le,1,1,1,1,1
77,0,le2,1,1,1,1,1
77,0,sl,NA,NA,NA,NA,NA
77,0,sl2,NA,NA,NA,NA,NA
76,0,wt,1,1,1,1,1
76,0,wt2,1,1,1,1,1
76,0,l,1,1,1,1,1
76,0,l2,1,1,1,1,1
76,0,fg,1,1,1,1,1
76,0,fg2,1,1,1,1,1
76,0,eb,1,1,1,1,1
76,0,eb2,1,1,1,1,1
76,0,im,1,1,1,1,1
76,0,im2,1,1,1,1,1
76,0,lp,1,1,1,1,1
76,0,lp2,1,1,1,1,1
76,0,le,1,1,1,1,1
76,0,le2,1,1,1,1,1
76,0,sl,NA,NA,NA,NA,NA
76,0,sl2,NA,NA,NA,NA,NA
75,0,wt,1,1,1,1,1
75,0,wt2,1,1,1,1,1
75,0,l,1,1,1,1,1
75,0,l2,1,1,1,1,1
75,0,fg,1,1,1,1,1
75,0,fg2,1,1,1,1,1
75,0,eb,1,1,1,1,1
75,0,eb2,1,1,1,1,1
75,0,im,1,1,1,1,1
75,0,im2,1,1,1,1,1
75,0,lp,1,1,1,1,1
75,0,lp2,1,1,1,1,1
75,0,le,1,1,1,1,1
75,0,le2,1,1,1,1,1
75,0,sl,NA,NA,NA,NA,NA
75,0,sl2,NA,NA,NA,NA,NA
74,0,wt,1,1,1,1,1
74,0,wt2,1,1,1,1,1
74,0,l,1,1,1,1,1
74,0,l2,1,1,1,1,1
74,0,fg,1,1,1,1,1
74,0,fg2,1,1,1,1,1
74,0,eb,1,1,1,1,1
74,0,eb2,1,1,1,1,1
74,0,im,1,1,1,1,1
74,0,im2,1,1,1,1,1
74,0,lp,1,1,1,1,1
74,0,lp2,1,1,1,1,1
74,0,le,1,1,1,1,1
74,0,le2,1,1,1,1,1
74,0,sl,NA,NA,NA,NA,NA
74,0,sl2,NA,NA,NA,NA,NA
73,0,wt,1,1,1,1,1
73,0,wt2,1,1,1,1,1
73,0,l,1,1,1,1,1
73,0,l2,1,1,1,1,1
73,0,fg,1,1,1,1,1
73,0,fg2,1,1,1,1,1
73,0,eb,1,1,1,1,1
73,0,eb2,1,1,1,1,1
73,0,im,1,1,1,1,1
73,0,im2,1,1,1,1,1
73,0,lp,1,1,1,1,1
73,0,lp2,1,1,1,1,1
73,0,le,1,1,1,1,1
73,0,le2,1,1,1,1,1
73,0,sl,NA,NA,NA,NA,NA
73,0,sl2,NA,NA,NA,NA,NA
72,0,wt,1,1,1,1,1
72,0,wt2,1,1,1,1,1
72,0,l,1,1,1,1,1
72,0,l2,1,1,1,1,1
72,0,fg,1,1,1,1,1
72,0,fg2,1,1,1,1,1
72,0,eb,1,1,1,1,1
72,0,eb2,1,1,1,1,1
72,0,im,1,1,1,1,1
72,0,im2,1,1,1,1,1
72,0,lp,1,1,1,1,1
72,0,lp2,1,1,1,1,1
72,0,le,1,1,1,1,1
72,0,le2,1,1,1,1,1
72,0,sl,NA,NA,NA,NA,NA
72,0,sl2,NA,NA,NA,NA,NA
71,0,wt,1,1,1,1,1
71,0,wt2,1,1,1,1,1
71,0,l,1,1,1,1,1
71,0,l2,1,1,1,1,1
71,0,fg,1,1,1,1,1
71,0,fg2,1,1,1,1,1
71,0,eb,1,1,1,1,1
71,0,eb2,1,1,1,1,1
71,0,im,1,1,1,1,1
71,0,im2,1,1,1,1,1
71,0,lp,1,1,1,1,1
71,0,lp2,1,1,1,1,1
71,0,le,1,1,1,1,1
71,0,le2,1,1,1,1,1
71,0,sl,NA,NA,NA,NA,NA
71,0,sl2,NA,NA,NA,NA,NA
70,0,wt,1,1,1,1,1
70,0,wt2,1,1,1,1,1
70,0,l,1,1,1,1,1
70,0,l2,1,1,1,1,1
70,0,fg,1,1,1,1,1
70,0,fg2,1,1,1,1,1
70,0,eb,1,1,1,1,1
70,0,eb2,1,1,1,1,1
70,0,im,1,1,1,1,1
70,0,im2,1,1,1,1,1
70,0,lp,1,1,1,1,1
70,0,lp2,1,1,1,1,1
70,0,le,1,1,1,1,1
70,0,le2,1,1,1,1,1
70,0,sl,NA,NA,NA,NA,NA
70,0,sl2,NA,NA,NA,NA,NA
69,0,wt,1,1,1,1,1
69,0,wt2,1,1,1,1,1
69,0,l,1,1,1,1,1
69,0,l2,1,1,1,1,1
69,0,fg,1,1,1,1,1
69,0,fg2,1,1,1,1,1
69,0,eb,1,1,1,1,1
69,0,eb2,1,1,1,1,1
69,0,im,1,1,1,1,1
69,0,im2,1,1,1,1,1
69,0,lp,1,1,1,1,1
69,0,lp2,1,1,1,1,1
69,0,le,1,1,1,1,1
69,0,le2,1,1,1,1,1
69,0,sl,NA,NA,NA,NA,NA
69,0,sl2,NA,NA,NA,NA,NA
68,0,wt,1,1,1,1,1
68,0,wt2,1,1,1,1,1
68,0,l,1,1,1,1,1
68,0,l2,1,1,1,1,1
68,0,fg,1,1,1,1,1
68,0,fg2,1,1,1,1,1
68,0,eb,1,1,1,1,1
68,0,eb2,1,1,1,1,1
68,0,im,1,1,1,1,1
68,0,im2,1,1,1,1,1
68,0,lp,1,1,1,1,1
68,0,lp2,1,1,1,1,1
68,0,le,1,1,1,1,1
68,0,le2,1,1,1,1,1
68,0,sl,NA,NA,NA,NA,NA
68,0,sl2,NA,NA,NA,NA,NA
67,0,wt,1,1,1,1,1
67,0,wt2,1,1,1,1,1
67,0,l,1,1,1,1,1
67,0,l2,1,1,1,1,1
67,0,fg,1,1,1,1,1
67,0,fg2,1,1,1,1,1
67,0,eb,1,1,1,1,1
67,0,eb2,1,1,1,1,1
67,0,im,1,1,1,1,1
67,0,im2,1,1,1,1,1
67,0,lp,1,1,1,1,1
67,0,lp2,1,1,1,1,1
67,0,le,1,1,1,1,1
67,0,le2,1,1,1,1,1
67,0,sl,NA,NA,NA,NA,NA
67,0,sl2,NA,NA,NA,NA,NA
66,0,wt,1,1,1,1,1
66,0,wt2,1,1,1,1,1
66,0,l,1,1,1,1,1
66,0,l2,1,1,1,1,1
66,0,fg,1,1,1,1,1
66,0,fg2,1,1,1,1,1
66,0,eb,1,1,1,1,1
66,0,eb2,1,1,1,1,1
66,0,im,1,1,1,1,1
66,0,im2,1,1,1,1,1
66,0,lp,1,1,1,1,1
66,0,lp2,1,1,1,1,1
66,0,le,1,1,1,1,1
66,0,le2,1,1,1,1,1
66,0,sl,NA,NA,NA,NA,NA
66,0,sl2,NA,NA,NA,NA,NA
65,0,wt,1,1,1,1,1
65,0,wt2,1,1,1,1,1
65,0,l,1,1,1,1,1
65,0,l2,1,1,1,1,1
65,0,fg,1,1,1,1,1
65,0,fg2,1,1,1,1,1
65,0,eb,1,1,1,1,1
65,0,eb2,1,1,1,1,1
65,0,im,1,1,1,1,1
65,0,im2,1,1,1,1,1
65,0,lp,1,1,1,1,1
65,0,lp2,1,1,1,1,1
65,0,le,1,1,1,1,1
65,0,le2,1,1,1,1,1
65,0,sl,NA,NA,NA,NA,NA
65,0,sl2,NA,NA,NA,NA,NA
64,0,wt,1,1,1,1,1
64,0,wt2,1,1,1,1,1
64,0,l,1,1,1,1,1
64,0,l2,1,1,1,1,1
64,0,fg,1,1,1,1,1
64,0,fg2,1,1,1,1,1
64,0,eb,1,1,1,1,1
64,0,eb2,1,1,1,1,1
64,0,im,1,1,1,1,1
64,0,im2,1,1,1,1,1
64,0,lp,1,1,1,1,1
64,0,lp2,1,1,1,1,1
64,0,le,1,1,1,1,1
64,0,le2,1,1,1,1,1
64,0,sl,NA,NA,NA,NA,NA
64,0,sl2,NA,NA,NA,NA,NA
63,0,wt,1,1,1,1,1
63,0,wt2,1,1,1,1,1
63,0,l,1,1,1,1,1
63,0,l2,1,1,1,1,1
63,0,fg,1,1,1,1,1
63,0,fg2,1,1,1,1,1
63,0,eb,1,1,1,1,1
63,0,eb2,1,1,1,1,1
63,0,im,1,1,1,1,1
63,0,im2,1,1,1,1,1
63,0,lp,1,1,1,1,1
63,0,lp2,1,1,1,1,1
63,0,le,1,1,1,1,1
63,0,le2,1,1,1,1,1
63,0,sl,NA,NA,NA,NA,NA
63,0,sl2,NA,NA,NA,NA,NA
62,0,wt,1,1,1,1,1
62,0,wt2,1,1,1,1,1
62,0,l,1,1,1,1,1
62,0,l2,1,1,1,1,1
62,0,fg,1,1,1,1,1
62,0,fg2,1,1,1,1,1
62,0,eb,1,1,1,1,1
62,0,eb2,1,1,1,1,1
62,0,im,1,1,1,1,1
62,0,im2,1,1,1,1,1
62,0,lp,1,1,1,1,1
62,0,lp2,1,1,1,1,1
62,0,le,1,1,1,1,1
62,0,le2,1,1,1,1,1
62,0,sl,NA,NA,NA,NA,NA
62,0,sl2,NA,NA,NA,NA,NA
61,0,wt,1,1,1,1,1
61,0,wt2,1,1,1,1,1
61,0,l,1,1,1,1,1
61,0,l2,1,1,1,1,1
61,0,fg,1,1,1,1,1
61,0,fg2,1,1,1,1,1
61,0,eb,1,1,1,1,1
61,0,eb2,1,1,1,1,1
61,0,im,1,1,1,1,1
61,0,im2,1,1,1,1,1
61,0,lp,1,1,1,1,1
61,0,lp2,1,1,1,1,1
61,0,le,1,1,1,1,1
61,0,le2,1,1,1,1,1
61,0,sl,NA,NA,NA,NA,NA
61,0,sl2,NA,NA,NA,NA,NA
60,0,wt,1,1,1,1,1
60,0,wt2,1,1,1,1,1
60,0,l,1,1,1,1,1
60,0,l2,1,1,1,1,1
60,0,fg,1,1,1,1,1
60,0,fg2,1,1,1,1,1
60,0,eb,1,1,1,1,1
60,0,eb2,1,1,1,1,1
60,0,im,1,1,1,1,1
60,0,im2,1,1,1,1,1
60,0,lp,1,1,1,1,1
60,0,lp2,1,1,1,1,1
60,0,le,1,1,1,1,1
60,0,le2,1,1,1,1,1
60,0,sl,NA,NA,NA,NA,NA
60,0,sl2,NA,NA,NA,NA,NA
59,0,wt,1,1,1,1,1
59,0,wt2,1,1,1,1,1
