run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
4,0.8,lp2,0,NaN,NaN,0,0,0,0
4,0.8,le,0.5749864115073333,0.6767150158251758,0.6237803608342011,0.621716856857243,0.45108065055457763,0.5749864115073333,0.47075905770300536
4,0.8,le2,0.6332314692792557,0.8335911015083255,0.7265370726853724,0.719727291492124,0.5621671747818066,0.6332314692792557,0.19072565334757124
4,0.8,sl,0.7572979874543025,0.9060946187284975,0.8283620169987665,0.8250410981216734,0.7021871971885454,0.7572979874543025,0.6200231515729011
4,0.8,sl2,0.6791877812633581,0.8318170526403716,0.7516381964747667,0.7477937405934667,0.5971809635801324,0.6791877812633581,0.5560719236351128
3,0.8,wt,0.34783819718514164,1,0.5897780914760582,0.5161423647312793,0.34783819718514164,0.34783819718514164,1.9488666120282974e-9
3,0.8,wt2,0,NaN,NaN,0,0,0,0
3,0.8,l,0.24911106120038373,0.7573231052831839,0.4343472832062656,0.37490293694583976,0.23069571994749535,0.24911106120038373,0.13671504906650173
3,0.8,l2,0.7966688987364611,0.8606219664758673,0.828028232767903,0.8274114926384938,0.7056281785502821,0.7966688987364611,0.6522573274163093
3,0.8,fg,0.2695547267360014,0.5886352128324549,0.39833328249374345,0.3697768911670716,0.22682594128591008,0.2695547267360014,0.18068793683480064
3,0.8,fg2,0.8278883284982496,0.8813393089600204,0.8541958366409389,0.853778058983121,0.7448627778191766,0.8278883284982496,0.5549501424713151
3,0.8,eb,0,NaN,NaN,0,0,0,0
3,0.8,eb2,0.34042929560283675,0.9179804179975378,0.5590236373142905,0.4966703986764369,0.3303802427885128,0.34042929560283675,2.102512210071538e-8
3,0.8,im,0,NaN,NaN,0,0,0,0
3,0.8,im2,0,NaN,NaN,0,0,0,0
3,0.8,lp,0,NaN,NaN,0,0,0,0
3,0.8,lp2,0,NaN,NaN,0,0,0,0
3,0.8,le,0.5316528622977876,0.7680470317178414,0.6390104872317122,0.6283518290218462,0.4580998555728428,0.5316528622977876,0.43528054832513224
3,0.8,le2,0.5611722230824203,0.6676688629769738,0.6121088302905785,0.6098058152030096,0.43864793988622486,0.5611722230824203,0.37616499041053003
3,0.8,sl,0.5545346284686937,0.9577593779897701,0.7287734495959387,0.7023908559681932,0.5412961670305371,0.5545346284686937,0.37171567768349095
3,0.8,sl2,0.5545346284686937,0.9577593779897701,0.7287734495959387,0.7023908559681932,0.5412961670305371,0.5545346284686937,0.37171567768349095
2,0.8,wt,0.643117685549634,0.7966365414873977,0.7157730427905483,0.7116923696622877,0.5524242447246293,0.643117685549634,0.5265402270078205
2,0.8,wt2,0,NaN,NaN,0,0,0,0
