run,alpha,method,NMI_scores
76,1,eb,0
76,1,eb2,0.3669682182037942
76,1,im,0
76,1,im2,0
76,1,lp,0
76,1,lp2,0.3968768974306056
76,1,le,0.03643822311925307
76,1,le2,0.18565371593276903
76,1,sl,0.041637088205382006
76,1,sl2,0.11279058312014861
75,1,wt,0.015071020830822329
75,1,wt2,0
75,1,l,0.13524296666766356
75,1,l2,0.1582275929692263
75,1,fg,0.030872695923854877
75,1,fg2,0.10573222892998788
75,1,eb,0
75,1,eb2,0.38652491818885976
75,1,im,0
75,1,im2,0
75,1,lp,0
75,1,lp2,0.4046764265463308
75,1,le,0.018905491147510733
75,1,le2,0.17836622545959668
75,1,sl,0.038255457107220954
75,1,sl2,0.03683783396801507
74,1,wt,0.012396119143699156
74,1,wt2,0
74,1,l,0.09773872279866722
74,1,l2,0.17411395879080765
74,1,fg,0.02263803921876899
74,1,fg2,0.1659998288571831
74,1,eb,0
74,1,eb2,0.391589064328211
74,1,im,0
74,1,im2,0
74,1,lp,0
74,1,lp2,0.4088371561353432
74,1,le,0.011696058512046173
74,1,le2,0.1044009486615463
74,1,sl,0.010654163209372854
74,1,sl2,0.03280005403839378
73,1,wt,0.07860182659926038
73,1,wt2,0
73,1,l,0.01700809422992409
73,1,l2,0.1111174534959438
73,1,fg,0.050011429577748893
73,1,fg2,0.21871796692207246
73,1,eb,0
73,1,eb2,0.38006368656338524
73,1,im,0
73,1,im2,0
73,1,lp,0
73,1,lp2,0.4055683680224433
73,1,le,0.07298412914648246
73,1,le2,0.1587835845698521
73,1,sl,0.09470480689262273
73,1,sl2,0.0700920353541768
72,1,wt,0.012812229777289307
72,1,wt2,0
72,1,l,0.016424310362171183
72,1,l2,0.20688552983842842
72,1,fg,0.015294782382884736
72,1,fg2,0.1561385889352074
72,1,eb,0
72,1,eb2,0.38574152446512144
72,1,im,0
72,1,im2,0
72,1,lp,0
72,1,lp2,0.38574152446512144
72,1,le,0.015198351283382278
72,1,le2,0.1672837511042473
72,1,sl,0.016424310362171183
72,1,sl2,0.016424310362171183
71,1,wt,0.06678165674999133
71,1,wt2,0
71,1,l,0.04477121825657252
71,1,l2,0.08978071524175688
71,1,fg,0.04356742412041158
71,1,fg2,0.11182696612982036
71,1,eb,0
71,1,eb2,0.36900434760654327
71,1,im,0
71,1,im2,0
71,1,lp,0
71,1,lp2,0.40517229380865927
71,1,le,0.03136465252139547
71,1,le2,0.18847722947821957
71,1,sl,0.04356742412041158
71,1,sl2,0.07390840402301851
70,1,wt,0.0959558624188
70,1,wt2,0
70,1,l,0.02971491866083406
70,1,l2,0.13786532565546505
70,1,fg,0.052930275800200495
70,1,fg2,0.19112190778532992
70,1,eb,0
70,1,eb2,0.3794767626103696
70,1,im,0
70,1,im2,0
70,1,lp,0
70,1,lp2,0.40493756528321323
70,1,le,0.02882923248363239
70,1,le2,0.15158145442957313
70,1,sl,0.0846071105422658
70,1,sl2,0.0846071105422658
69,1,wt,0.006752945648932021
69,1,wt2,0
69,1,l,0.06038072409036946
69,1,l2,0.15314257522935487
69,1,fg,0.0021383183777561325
69,1,fg2,0.1441905574016744
69,1,eb,0
69,1,eb2,0.41077092469103377
69,1,im,0
69,1,im2,0
69,1,lp,0
69,1,lp2,0.40785964622553883
69,1,le,0.015180354564848815
69,1,le2,0.11126734613915157
