run,alpha,method,accuracies,c_count
77,1,wt,0.28,2
77,1,wt2,0.28,1
77,1,l,0.34,3
77,1,l2,0.38,7
77,1,fg,0.36,2
77,1,fg2,0.38,7
77,1,eb,0.28,1
77,1,eb2,0.88,42
77,1,im,0.28,1
77,1,im2,0.28,1
77,1,lp,0.28,1
77,1,lp2,1,50
77,1,sl,0.36,4
77,1,sl2,0.32,3
76,1,wt,0.34,2
76,1,wt2,0.34,1
76,1,l,0.36,3
76,1,l2,0.42,7
76,1,fg,0.34,2
76,1,fg2,0.44,7
76,1,eb,0.34,1
76,1,eb2,0.9,44
76,1,im,0.34,1
76,1,im2,0.34,1
76,1,lp,0.34,1
76,1,lp2,1,50
76,1,sl,0.36,3
76,1,sl2,0.4,3
75,1,wt,0.28,2
75,1,wt2,0.26,1
75,1,l,0.36,4
75,1,l2,0.42,9
75,1,fg,0.3,3
75,1,fg2,0.36,6
75,1,eb,0.26,1
75,1,eb2,0.94,46
75,1,im,0.26,1
75,1,im2,0.26,1
75,1,lp,0.26,1
75,1,lp2,1,50
75,1,sl,0.32,3
75,1,sl2,0.32,3
74,1,wt,0.26,3
74,1,wt2,0.24,1
74,1,l,0.36,3
74,1,l2,0.44,7
74,1,fg,0.26,2
74,1,fg2,0.4,10
74,1,eb,0.24,1
74,1,eb2,0.94,47
74,1,im,0.24,1
74,1,im2,0.24,1
74,1,lp,0.24,1
74,1,lp2,1,50
74,1,sl,0.28,3
74,1,sl2,0.3,4
73,1,wt,0.32,2
73,1,wt2,0.24,1
73,1,l,0.28,2
73,1,l2,0.36,6
73,1,fg,0.3,2
73,1,fg2,0.46,8
73,1,eb,0.24,1
73,1,eb2,0.92,46
73,1,im,0.24,1
73,1,im2,0.24,1
73,1,lp,0.24,1
73,1,lp2,1,50
73,1,sl,0.34,4
73,1,sl2,0.3,3
72,1,wt,0.36,2
72,1,wt2,0.36,1
72,1,l,0.36,2
72,1,l2,0.44,8
72,1,fg,0.36,2
72,1,fg2,0.4,7
72,1,eb,0.36,1
72,1,eb2,1,50
72,1,im,0.36,1
72,1,im2,0.36,1
72,1,lp,0.36,1
72,1,lp2,1,50
72,1,sl,0.36,2
72,1,sl2,0.36,2
71,1,wt,0.36,2
71,1,wt2,0.24,1
71,1,l,0.34,2
71,1,l2,0.34,6
71,1,fg,0.32,2
71,1,fg2,0.36,7
71,1,eb,0.24,1
71,1,eb2,0.86,41
71,1,im,0.24,1
71,1,im2,0.24,1
71,1,lp,0.24,1
71,1,lp2,1,50
71,1,sl,0.32,2
71,1,sl2,0.34,3
70,1,wt,0.38,3
70,1,wt2,0.28,1
70,1,l,0.32,3
70,1,l2,0.36,6
70,1,fg,0.3,2
70,1,fg2,0.4,7
70,1,eb,0.28,1
70,1,eb2,0.84,39
70,1,im,0.28,1
70,1,im2,0.28,1
70,1,lp,0.28,1
70,1,lp2,1,50
70,1,sl,0.36,3
70,1,sl2,0.36,3
69,1,wt,0.28,2
69,1,wt2,0.24,1
69,1,l,0.36,3
69,1,l2,0.38,6
69,1,fg,0.26,2
69,1,fg2,0.38,7
69,1,eb,0.24,1
69,1,eb2,1,49
69,1,im,0.24,1
