run,alpha,method,accuracies
975,0.8,fg2,0.6
975,0.8,eb,0.3
975,0.8,eb2,0.96
975,0.8,im,0.3
975,0.8,im2,0.3
975,0.8,lp,0.3
975,0.8,lp2,1
975,0.8,sl,0.64
975,0.8,sl2,0.66
974,0.8,wt,0.34
974,0.8,wt2,0.26
974,0.8,l,0.5
974,0.8,l2,0.66
974,0.8,fg,0.38
974,0.8,fg2,0.46
974,0.8,eb,0.26
974,0.8,eb2,1
974,0.8,im,0.26
974,0.8,im2,0.26
974,0.8,lp,0.26
974,0.8,lp2,1
974,0.8,sl,0.36
974,0.8,sl2,0.36
973,0.8,wt,0.4
973,0.8,wt2,0.28
973,0.8,l,0.48
973,0.8,l2,0.84
973,0.8,fg,0.44
973,0.8,fg2,0.6
973,0.8,eb,0.28
973,0.8,eb2,0.92
973,0.8,im,0.28
973,0.8,im2,0.28
973,0.8,lp,0.28
973,0.8,lp2,1
973,0.8,sl,0.52
973,0.8,sl2,0.52
972,0.8,wt,0.36
972,0.8,wt2,0.26
972,0.8,l,0.4
972,0.8,l2,0.68
972,0.8,fg,0.38
972,0.8,fg2,0.62
972,0.8,eb,0.26
972,0.8,eb2,0.98
972,0.8,im,0.26
972,0.8,im2,0.26
972,0.8,lp,0.26
972,0.8,lp2,1
972,0.8,sl,0.5
972,0.8,sl2,0.5
971,0.8,wt,0.34
971,0.8,wt2,0.24
971,0.8,l,0.48
971,0.8,l2,0.66
971,0.8,fg,0.42
971,0.8,fg2,0.62
971,0.8,eb,0.24
971,0.8,eb2,0.94
971,0.8,im,0.24
971,0.8,im2,0.24
971,0.8,lp,0.24
971,0.8,lp2,1
971,0.8,sl,0.5
971,0.8,sl2,0.56
970,0.8,wt,0.5
970,0.8,wt2,0.26
970,0.8,l,0.5
970,0.8,l2,0.88
970,0.8,fg,0.48
970,0.8,fg2,0.82
970,0.8,eb,0.26
970,0.8,eb2,0.96
970,0.8,im,0.26
970,0.8,im2,0.26
970,0.8,lp,0.26
970,0.8,lp2,1
970,0.8,sl,0.56
970,0.8,sl2,0.56
969,0.8,wt,0.42
969,0.8,wt2,0.26
969,0.8,l,0.44
969,0.8,l2,0.7
969,0.8,fg,0.54
969,0.8,fg2,0.84
969,0.8,eb,0.26
969,0.8,eb2,0.9
969,0.8,im,0.26
969,0.8,im2,0.26
969,0.8,lp,0.26
969,0.8,lp2,1
969,0.8,sl,0.56
969,0.8,sl2,0.56
968,0.8,wt,0.46
968,0.8,wt2,0.36
968,0.8,l,0.46
968,0.8,l2,0.66
968,0.8,fg,0.36
968,0.8,fg2,0.58
968,0.8,eb,0.36
968,0.8,eb2,0.96
968,0.8,im,0.36
968,0.8,im2,0.36
968,0.8,lp,0.36
968,0.8,lp2,1
968,0.8,sl,0.46
968,0.8,sl2,0.56
967,0.8,wt,0.4
967,0.8,wt2,0.22
967,0.8,l,0.42
967,0.8,l2,0.56
967,0.8,fg,0.4
967,0.8,fg2,0.64
967,0.8,eb,0.22
967,0.8,eb2,1
967,0.8,im,0.22
967,0.8,im2,0.22
967,0.8,lp,0.22
967,0.8,lp2,1
967,0.8,sl,0.52
967,0.8,sl2,0.52
966,0.8,wt,0.36
966,0.8,wt2,0.28
966,0.8,l,0.54
966,0.8,l2,0.62
966,0.8,fg,0.52
966,0.8,fg2,0.62
966,0.8,eb,0.28
966,0.8,eb2,0.98
966,0.8,im,0.28
966,0.8,im2,0.28
966,0.8,lp,0.28
966,0.8,lp2,0.28
966,0.8,sl,0.54
966,0.8,sl2,0.54
965,0.8,wt,0.46
965,0.8,wt2,0.24
965,0.8,l,0.42
965,0.8,l2,0.54
965,0.8,fg,0.44
965,0.8,fg2,0.58
965,0.8,eb,0.24
965,0.8,eb2,0.98
965,0.8,im,0.24
965,0.8,im2,0.24
965,0.8,lp,0.24
965,0.8,lp2,1
965,0.8,sl,0.5
965,0.8,sl2,0.5
964,0.8,wt,0.38
964,0.8,wt2,0.28
964,0.8,l,0.48
964,0.8,l2,0.74
964,0.8,fg,0.52
964,0.8,fg2,0.74
964,0.8,eb,0.28
964,0.8,eb2,1
964,0.8,im,0.28
964,0.8,im2,0.28
964,0.8,lp,0.28
964,0.8,lp2,1
964,0.8,sl,0.5
964,0.8,sl2,0.52
963,0.8,wt,0.5
963,0.8,wt2,0.24
963,0.8,l,0.48
963,0.8,l2,0.58
963,0.8,fg,0.52
963,0.8,fg2,0.6
963,0.8,eb,0.24
963,0.8,eb2,0.92
963,0.8,im,0.24
963,0.8,im2,0.24
963,0.8,lp,0.24
963,0.8,lp2,1
963,0.8,sl,0.48
963,0.8,sl2,0.48
962,0.8,wt,0.4
962,0.8,wt2,0.26
962,0.8,l,0.4
962,0.8,l2,0.62
962,0.8,fg,0.36
962,0.8,fg2,0.64
962,0.8,eb,0.26
962,0.8,eb2,1
962,0.8,im,0.26
962,0.8,im2,0.26
962,0.8,lp,0.26
962,0.8,lp2,1
962,0.8,sl,0.42
962,0.8,sl2,0.42
961,0.8,wt,0.42
961,0.8,wt2,0.28
961,0.8,l,0.42
961,0.8,l2,0.72
961,0.8,fg,0.42
961,0.8,fg2,0.7
961,0.8,eb,0.28
961,0.8,eb2,0.96
961,0.8,im,0.28
961,0.8,im2,0.28
961,0.8,lp,0.28
961,0.8,lp2,1
961,0.8,sl,0.42
961,0.8,sl2,0.44
960,0.8,wt,0.42
960,0.8,wt2,0.24
960,0.8,l,0.6
960,0.8,l2,0.66
960,0.8,fg,0.32
960,0.8,fg2,0.68
960,0.8,eb,0.24
960,0.8,eb2,0.98
960,0.8,im,0.24
960,0.8,im2,0.24
960,0.8,lp,0.24
960,0.8,lp2,1
960,0.8,sl,0.58
960,0.8,sl2,0.72
959,0.8,wt,0.34
959,0.8,wt2,0.24
959,0.8,l,0.5
959,0.8,l2,0.7
959,0.8,fg,0.4
959,0.8,fg2,0.62
959,0.8,eb,0.24
959,0.8,eb2,1
959,0.8,im,0.24
959,0.8,im2,0.24
959,0.8,lp,0.24
959,0.8,lp2,1
959,0.8,sl,0.5
959,0.8,sl2,0.5
958,0.8,wt,0.42
958,0.8,wt2,0.24
958,0.8,l,0.72
958,0.8,l2,0.7
958,0.8,fg,0.52
958,0.8,fg2,0.68
958,0.8,eb,0.24
958,0.8,eb2,0.88
958,0.8,im,0.24
958,0.8,im2,0.24
958,0.8,lp,0.24
958,0.8,lp2,1
958,0.8,sl,0.72
958,0.8,sl2,0.72
957,0.8,wt,0.4
957,0.8,wt2,0.28
957,0.8,l,0.58
957,0.8,l2,0.56
957,0.8,fg,0.58
