run,alpha,method,accuracies
975,0.5,eb,0.8
975,0.5,eb2,0.8
975,0.5,im,0.26
975,0.5,im2,0.26
975,0.5,lp,0.26
975,0.5,lp2,0.26
975,0.5,sl,1
975,0.5,sl2,1
974,0.5,wt,1
974,0.5,wt2,1
974,0.5,l,1
974,0.5,l2,1
974,0.5,fg,0.98
974,0.5,fg2,0.98
974,0.5,eb,0.66
974,0.5,eb2,0.94
974,0.5,im,0.28
974,0.5,im2,0.28
974,0.5,lp,0.28
974,0.5,lp2,0.28
974,0.5,sl,1
974,0.5,sl2,1
973,0.5,wt,0.8
973,0.5,wt2,1
973,0.5,l,1
973,0.5,l2,1
973,0.5,fg,0.78
973,0.5,fg2,0.88
973,0.5,eb,0.56
973,0.5,eb2,0.98
973,0.5,im,0.4
973,0.5,im2,0.4
973,0.5,lp,0.4
973,0.5,lp2,0.4
973,0.5,sl,1
973,0.5,sl2,1
972,0.5,wt,1
972,0.5,wt2,1
972,0.5,l,1
972,0.5,l2,1
972,0.5,fg,0.96
972,0.5,fg2,1
972,0.5,eb,0.76
972,0.5,eb2,0.78
972,0.5,im,0.24
972,0.5,im2,0.24
972,0.5,lp,0.24
972,0.5,lp2,0.24
972,0.5,sl,1
972,0.5,sl2,1
971,0.5,wt,0.8
971,0.5,wt2,1
971,0.5,l,1
971,0.5,l2,1
971,0.5,fg,0.96
971,0.5,fg2,0.98
971,0.5,eb,0.82
971,0.5,eb2,0.9
971,0.5,im,0.26
971,0.5,im2,0.26
971,0.5,lp,0.26
971,0.5,lp2,0.26
971,0.5,sl,1
971,0.5,sl2,1
970,0.5,wt,1
970,0.5,wt2,0.74
970,0.5,l,1
970,0.5,l2,1
970,0.5,fg,0.82
970,0.5,fg2,0.82
970,0.5,eb,0.3
970,0.5,eb2,1
970,0.5,im,0.3
970,0.5,im2,0.3
970,0.5,lp,0.3
970,0.5,lp2,0.3
970,0.5,sl,1
970,0.5,sl2,1
969,0.5,wt,1
969,0.5,wt2,1
969,0.5,l,1
969,0.5,l2,1
969,0.5,fg,0.76
969,0.5,fg2,0.94
969,0.5,eb,0.34
969,0.5,eb2,0.8
969,0.5,im,0.34
969,0.5,im2,0.34
969,0.5,lp,0.34
969,0.5,lp2,0.34
969,0.5,sl,1
969,0.5,sl2,0.98
968,0.5,wt,0.62
968,0.5,wt2,0.62
968,0.5,l,0.98
968,0.5,l2,0.98
968,0.5,fg,0.76
968,0.5,fg2,0.96
968,0.5,eb,0.52
968,0.5,eb2,0.84
968,0.5,im,0.26
968,0.5,im2,0.26
968,0.5,lp,0.26
968,0.5,lp2,0.26
968,0.5,sl,1
968,0.5,sl2,0.98
967,0.5,wt,0.8
967,0.5,wt2,0.82
967,0.5,l,1
967,0.5,l2,1
967,0.5,fg,0.82
967,0.5,fg2,0.82
967,0.5,eb,0.68
967,0.5,eb2,0.98
967,0.5,im,0.34
967,0.5,im2,0.34
967,0.5,lp,0.34
967,0.5,lp2,0.34
967,0.5,sl,0.98
967,0.5,sl2,1
966,0.5,wt,1
966,0.5,wt2,0.88
966,0.5,l,1
966,0.5,l2,1
966,0.5,fg,1
966,0.5,fg2,1
966,0.5,eb,0.72
966,0.5,eb2,0.96
966,0.5,im,0.26
966,0.5,im2,0.26
966,0.5,lp,0.26
966,0.5,lp2,0.26
966,0.5,sl,1
966,0.5,sl2,1
965,0.5,wt,0.96
965,0.5,wt2,0.98
965,0.5,l,1
965,0.5,l2,1
965,0.5,fg,0.98
965,0.5,fg2,0.98
965,0.5,eb,0.98
965,0.5,eb2,0.98
965,0.5,im,0.34
965,0.5,im2,0.34
965,0.5,lp,0.34
965,0.5,lp2,0.34
965,0.5,sl,1
965,0.5,sl2,1
964,0.5,wt,0.94
964,0.5,wt2,1
964,0.5,l,1
964,0.5,l2,1
964,0.5,fg,0.98
964,0.5,fg2,1
964,0.5,eb,0.68
964,0.5,eb2,0.68
964,0.5,im,0.28
964,0.5,im2,0.28
964,0.5,lp,0.28
964,0.5,lp2,0.28
964,0.5,sl,1
964,0.5,sl2,1
963,0.5,wt,0.98
963,0.5,wt2,1
963,0.5,l,1
963,0.5,l2,1
963,0.5,fg,1
963,0.5,fg2,1
963,0.5,eb,0.5
963,0.5,eb2,0.92
963,0.5,im,0.26
963,0.5,im2,0.26
963,0.5,lp,0.26
963,0.5,lp2,0.26
963,0.5,sl,1
963,0.5,sl2,1
962,0.5,wt,1
962,0.5,wt2,1
962,0.5,l,1
962,0.5,l2,1
962,0.5,fg,0.98
962,0.5,fg2,1
962,0.5,eb,0.68
962,0.5,eb2,0.68
962,0.5,im,0.28
962,0.5,im2,0.28
962,0.5,lp,0.28
962,0.5,lp2,0.28
962,0.5,sl,1
962,0.5,sl2,1
961,0.5,wt,0.96
961,0.5,wt2,0.78
961,0.5,l,1
961,0.5,l2,1
961,0.5,fg,0.78
961,0.5,fg2,1
961,0.5,eb,0.6
961,0.5,eb2,0.96
961,0.5,im,0.32
961,0.5,im2,0.32
961,0.5,lp,0.32
961,0.5,lp2,0.32
961,0.5,sl,1
961,0.5,sl2,1
960,0.5,wt,1
960,0.5,wt2,1
960,0.5,l,1
960,0.5,l2,1
960,0.5,fg,1
960,0.5,fg2,1
960,0.5,eb,0.24
960,0.5,eb2,0.92
960,0.5,im,0.24
960,0.5,im2,0.24
960,0.5,lp,0.24
960,0.5,lp2,0.24
960,0.5,sl,1
960,0.5,sl2,1
959,0.5,wt,0.92
959,0.5,wt2,0.98
959,0.5,l,1
959,0.5,l2,1
959,0.5,fg,0.98
959,0.5,fg2,1
959,0.5,eb,0.6
959,0.5,eb2,0.9
959,0.5,im,0.28
959,0.5,im2,0.28
959,0.5,lp,0.28
959,0.5,lp2,0.28
959,0.5,sl,1
959,0.5,sl2,0.98
958,0.5,wt,1
958,0.5,wt2,1
958,0.5,l,1
958,0.5,l2,1
958,0.5,fg,0.8
958,0.5,fg2,0.96
958,0.5,eb,0.46
958,0.5,eb2,0.74
958,0.5,im,0.26
958,0.5,im2,0.26
958,0.5,lp,0.26
958,0.5,lp2,0.26
958,0.5,sl,1
958,0.5,sl2,1
957,0.5,wt,0.78
957,0.5,wt2,0.78
957,0.5,l,0.76
957,0.5,l2,1
957,0.5,fg,0.76
957,0.5,fg2,0.88
957,0.5,eb,0.9
957,0.5,eb2,0.9
957,0.5,im,0.26
957,0.5,im2,0.26
957,0.5,lp,0.26
957,0.5,lp2,0.26
