run,alpha,method,accuracies
965,1,eb2,0.96
965,1,im,0.26
965,1,im2,0.26
965,1,lp,0.26
965,1,lp2,1
965,1,sl,0.38
965,1,sl2,0.34
964,1,wt,0.26
964,1,wt2,0.26
964,1,l,0.3
964,1,l2,0.36
964,1,fg,0.26
964,1,fg2,0.38
964,1,eb,0.26
964,1,eb2,1
964,1,im,0.26
964,1,im2,0.26
964,1,lp,0.26
964,1,lp2,1
964,1,sl,0.26
964,1,sl2,0.28
963,1,wt,0.36
963,1,wt2,0.26
963,1,l,0.36
963,1,l2,0.44
963,1,fg,0.36
963,1,fg2,0.4
963,1,eb,0.26
963,1,eb2,0.98
963,1,im,0.26
963,1,im2,0.26
963,1,lp,0.26
963,1,lp2,1
963,1,sl,0.36
963,1,sl2,0.36
962,1,wt,0.38
962,1,wt2,0.36
962,1,l,0.36
962,1,l2,0.4
962,1,fg,0.36
962,1,fg2,0.36
962,1,eb,0.36
962,1,eb2,0.96
962,1,im,0.36
962,1,im2,0.36
962,1,lp,0.36
962,1,lp2,1
962,1,sl,0.38
962,1,sl2,0.36
961,1,wt,0.34
961,1,wt2,0.28
961,1,l,0.32
961,1,l2,0.38
961,1,fg,0.32
961,1,fg2,0.42
961,1,eb,0.28
961,1,eb2,0.92
961,1,im,0.28
961,1,im2,0.28
961,1,lp,0.28
961,1,lp2,1
961,1,sl,0.36
961,1,sl2,0.34
960,1,wt,0.32
960,1,wt2,0.3
960,1,l,0.32
960,1,l2,0.42
960,1,fg,0.34
960,1,fg2,0.42
960,1,eb,0.3
960,1,eb2,0.98
960,1,im,0.3
960,1,im2,0.3
960,1,lp,0.3
960,1,lp2,1
960,1,sl,0.38
960,1,sl2,0.38
959,1,wt,0.34
959,1,wt2,0.26
959,1,l,0.32
959,1,l2,0.42
959,1,fg,0.36
959,1,fg2,0.42
959,1,eb,0.26
959,1,eb2,1
959,1,im,0.26
959,1,im2,0.26
959,1,lp,0.26
959,1,lp2,1
959,1,sl,0.34
959,1,sl2,0.34
958,1,wt,0.38
958,1,wt2,0.28
958,1,l,0.34
958,1,l2,0.38
958,1,fg,0.34
958,1,fg2,0.4
958,1,eb,0.28
958,1,eb2,0.92
958,1,im,0.28
958,1,im2,0.28
958,1,lp,0.28
